Designator,Val,Mid X,Mid Y,Rotation,Layer,Assembly
C1,100uF 25V,8.0,24.0,0.0,Top,SMT
C2,10uF 25V,22.0,14.0,0.0,Top,SMT
C3,22uF 10V,28.0,9.0,0.0,Top,SMT
C4,100nF,34.0,22.0,0.0,Top,SMT
C5,100nF,44.0,14.0,0.0,Top,SMT
C6,100nF,46.0,14.0,0.0,Top,SMT
C7,100nF,32.0,9.0,0.0,Top,SMT
C8,1uF,44.0,42.0,0.0,Top,SMT
C9,100nF,38.0,28.0,0.0,Top,SMT
J1,BATT_IN,6.35,36.0,0.0,Top,Hand placement - PCBWay
J2,LOAD_OUT,6.35,22.0,0.0,Top,Hand placement - PCBWay
J3,PinHeader 1x03,26.0,5.0,0.0,Top,Hand placement - PCBWay
J4,USB4110-GF-A,46.0,1.5,0.0,Top,Hand placement - PCBWay
L1,4.7uH IHLP-5050,20.0,10.0,0.0,Top,SMT
LED1,Blue 0402,56.0,46.0,0.0,Top,SMT
R1,4.7k,38.0,22.0,0.0,Top,SMT
R10,5.1k,36.0,4.0,0.0,Top,SMT
R11,5.1k,38.0,4.0,0.0,Top,SMT
R2,4.7k,40.0,22.0,0.0,Top,SMT
R3,10k,30.0,34.0,0.0,Top,SMT
R4,100R,56.0,44.0,0.0,Top,SMT
R5,10R,40.0,32.0,0.0,Top,SMT
R6,210k,16.0,12.0,0.0,Top,SMT
R7,68k,20.0,12.0,0.0,Top,SMT
R8,10k,44.0,44.0,0.0,Top,SMT
R9,4.7k,48.0,46.0,0.0,Top,SMT
R_SHUNT,WSLT2512R0100FEA,22.0,32.0,90.0,Top,SMT
SW1,B3S-1000,33.0,46.0,0.0,Top,Hand placement - PCBWay
SW2,B3S-1000,43.0,46.0,0.0,Top,Hand placement - PCBWay
TVS1,SMAJ15CA,20.0,40.0,0.0,Top,SMT
U1,ESP32-C3-MINI-1-N4,52.0,27.0,-90.0,Top,SMT
U2,INA228AIDGST,34.0,28.0,0.0,Top,SMT
U3,AP63203WU-7,8.0,10.0,0.0,Top,SMT
