entity_id,state,last_changed
sensor.shellyhtg3_54320456fd9c_temperature,73.58,2026-05-06T04:00:00.000Z
sensor.shellyhtg3_54320456fd9c_temperature,73.4,2026-05-06T04:18:02.441Z
sensor.shellyhtg3_54320456fd9c_temperature,73.22,2026-05-06T05:18:01.887Z
sensor.shellyhtg3_54320456fd9c_temperature,73.04,2026-05-06T05:41:59.534Z
sensor.shellyhtg3_54320456fd9c_temperature,72.86,2026-05-06T06:30:02.183Z
sensor.shellyhtg3_54320456fd9c_temperature,72.68,2026-05-06T07:06:02.941Z
sensor.shellyhtg3_54320456fd9c_temperature,72.5,2026-05-06T07:48:04.298Z
sensor.shellyhtg3_54320456fd9c_temperature,72.32,2026-05-06T08:06:02.918Z
sensor.shellyhtg3_54320456fd9c_temperature,72.14,2026-05-06T08:42:02.573Z
sensor.shellyhtg3_54320456fd9c_temperature,71.96,2026-05-06T09:24:00.362Z
sensor.shellyhtg3_54320456fd9c_temperature,71.78,2026-05-06T09:54:02.720Z
sensor.shellyhtg3_54320456fd9c_temperature,71.96,2026-05-06T10:00:02.518Z
sensor.shellyhtg3_54320456fd9c_temperature,71.78,2026-05-06T10:06:02.780Z
sensor.shellyhtg3_54320456fd9c_temperature,71.6,2026-05-06T10:36:01.895Z
sensor.shellyhtg3_54320456fd9c_temperature,71.42,2026-05-06T11:06:01.104Z
sensor.shellyhtg3_54320456fd9c_temperature,71.24,2026-05-06T11:36:02.633Z
sensor.shellyhtg3_54320456fd9c_temperature,71.42,2026-05-06T11:42:02.455Z
sensor.shellyhtg3_54320456fd9c_temperature,71.24,2026-05-06T12:06:02.792Z
sensor.shellyhtg3_54320456fd9c_temperature,71.42,2026-05-06T12:54:00.449Z
sensor.shellyhtg3_54320456fd9c_temperature,71.6,2026-05-06T13:12:03.000Z
sensor.shellyhtg3_54320456fd9c_temperature,71.78,2026-05-06T13:30:02.326Z
sensor.shellyhtg3_54320456fd9c_temperature,71.96,2026-05-06T13:36:02.055Z
sensor.shellyhtg3_54320456fd9c_temperature,72.14,2026-05-06T14:06:01.960Z
sensor.shellyhtg3_54320456fd9c_temperature,72.32,2026-05-06T14:30:03.074Z
sensor.shellyhtg3_54320456fd9c_temperature,72.5,2026-05-06T14:48:02.409Z
sensor.shellyhtg3_54320456fd9c_temperature,72.68,2026-05-06T15:06:02.194Z
sensor.shellyhtg3_54320456fd9c_temperature,72.86,2026-05-06T15:30:02.943Z
sensor.shellyhtg3_54320456fd9c_temperature,73.04,2026-05-06T16:00:02.474Z
sensor.shellyhtg3_54320456fd9c_temperature,73.22,2026-05-06T16:42:01.833Z
sensor.shellyhtg3_54320456fd9c_temperature,73.4,2026-05-06T17:30:02.172Z
sensor.shellyhtg3_54320456fd9c_temperature,73.22,2026-05-06T17:42:02.902Z
sensor.shellyhtg3_54320456fd9c_temperature,73.4,2026-05-06T17:48:01.309Z
sensor.shellyhtg3_54320456fd9c_temperature,73.22,2026-05-06T18:00:02.678Z
sensor.shellyhtg3_54320456fd9c_temperature,73.04,2026-05-06T18:24:02.490Z
sensor.shellyhtg3_54320456fd9c_temperature,72.86,2026-05-06T19:18:02.732Z
sensor.shellyhtg3_54320456fd9c_temperature,72.68,2026-05-06T19:48:04.304Z
sensor.shellyhtg3_54320456fd9c_temperature,72.86,2026-05-06T19:54:02.282Z
sensor.shellyhtg3_54320456fd9c_temperature,72.68,2026-05-06T20:30:02.296Z
sensor.shellyhtg3_54320456fd9c_temperature,72.86,2026-05-06T20:36:02.142Z
sensor.shellyhtg3_54320456fd9c_temperature,72.68,2026-05-06T20:42:02.044Z
sensor.shellyhtg3_54320456fd9c_temperature,72.86,2026-05-06T20:54:01.049Z
sensor.shellyhtg3_54320456fd9c_temperature,72.68,2026-05-06T21:00:02.253Z
sensor.shellyhtg3_54320456fd9c_temperature,72.5,2026-05-06T21:18:01.001Z
sensor.shellyhtg3_54320456fd9c_temperature,72.32,2026-05-06T22:06:02.238Z
sensor.shellyhtg3_54320456fd9c_temperature,72.14,2026-05-06T22:12:02.012Z
sensor.shellyhtg3_54320456fd9c_temperature,71.96,2026-05-06T22:30:02.561Z
sensor.shellyhtg3_54320456fd9c_temperature,72.14,2026-05-06T22:42:02.291Z
