entity_id,state,last_changed
sensor.ups_battery_voltge_ups_temperature_temperature,56.642,2026-03-26T04:00:00.000Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.408,2026-03-26T05:15:00.138Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.642,2026-03-26T05:15:50.063Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.408,2026-03-26T05:17:44.887Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.642,2026-03-26T05:23:44.333Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.408,2026-03-26T05:23:49.324Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.642,2026-03-26T05:24:49.228Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.408,2026-03-26T05:25:14.191Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.192,2026-03-26T06:34:32.813Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.408,2026-03-26T06:34:52.783Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.192,2026-03-26T06:35:17.741Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.408,2026-03-26T06:37:17.572Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.192,2026-03-26T06:37:57.510Z
sensor.ups_battery_voltge_ups_temperature_temperature,55.958,2026-03-26T07:31:27.451Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.192,2026-03-26T07:31:42.425Z
sensor.ups_battery_voltge_ups_temperature_temperature,55.958,2026-03-26T07:32:22.359Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.192,2026-03-26T07:33:37.235Z
sensor.ups_battery_voltge_ups_temperature_temperature,55.958,2026-03-26T07:34:52.123Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.192,2026-03-26T07:35:32.075Z
sensor.ups_battery_voltge_ups_temperature_temperature,55.958,2026-03-26T07:36:46.957Z
sensor.ups_battery_voltge_ups_temperature_temperature,55.742,2026-03-26T09:11:23.138Z
sensor.ups_battery_voltge_ups_temperature_temperature,55.958,2026-03-26T09:12:23.039Z
sensor.ups_battery_voltge_ups_temperature_temperature,55.742,2026-03-26T09:22:27.067Z
sensor.ups_battery_voltge_ups_temperature_temperature,55.958,2026-03-26T09:23:02.013Z
sensor.ups_battery_voltge_ups_temperature_temperature,55.742,2026-03-26T09:23:41.969Z
sensor.ups_battery_voltge_ups_temperature_temperature,55.958,2026-03-26T09:23:51.932Z
sensor.ups_battery_voltge_ups_temperature_temperature,55.742,2026-03-26T09:23:56.934Z
sensor.ups_battery_voltge_ups_temperature_temperature,55.958,2026-03-26T09:31:51.170Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.192,2026-03-26T09:46:09.767Z
sensor.ups_battery_voltge_ups_temperature_temperature,55.958,2026-03-26T09:46:14.756Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.192,2026-03-26T09:49:44.420Z
sensor.ups_battery_voltge_ups_temperature_temperature,55.958,2026-03-26T09:51:59.196Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.192,2026-03-26T09:52:09.185Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.408,2026-03-26T10:20:51.417Z
sensor.ups_battery_voltge_ups_temperature_temperature,56.192,2026-03-26T10:21:31.352Z
