entity_id,state,last_changed
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.26,2026-03-26T04:00:00.000Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.25,2026-03-26T04:00:08.242Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.26,2026-03-26T04:00:10.239Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.27,2026-03-26T04:00:15.233Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.25,2026-03-26T04:00:16.228Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.26,2026-03-26T04:00:25.216Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.25,2026-03-26T04:03:37.917Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.27,2026-03-26T04:03:40.914Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.25,2026-03-26T04:03:58.875Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.27,2026-03-26T04:04:05.864Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.25,2026-03-26T04:04:37.814Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.27,2026-03-26T04:04:40.809Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.26,2026-03-26T04:04:50.793Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.27,2026-03-26T04:04:54.786Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.26,2026-03-26T04:05:02.773Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.27,2026-03-26T04:05:45.709Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.25,2026-03-26T04:05:46.720Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.26,2026-03-26T04:05:48.701Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.25,2026-03-26T04:08:14.465Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.26,2026-03-26T04:08:32.443Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.25,2026-03-26T04:08:36.434Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.26,2026-03-26T04:08:54.399Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.25,2026-03-26T04:09:04.400Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.27,2026-03-26T04:09:17.362Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.25,2026-03-26T04:09:19.358Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.26,2026-03-26T04:09:22.356Z
sensor.ups_battery_voltge_ups_battery_voltage_voltmeter,13.25,2026-03-26T04:09:57.307Z
